Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA GERSON MORETHSON 315 - APT 301 - ITAPOA - 31710-520 - BELO HORIZONTE - MG;ITAPOA;2.011;720;114,4;114,4;P3;0,05;AP;RESIDENCIAL;529.565;ZAP;07/10/2021
RUA CONSELHEIRO JOAQUIM CAETANO 27 - APT 203 - NOVA GRANADA - 30421-470 - BELO HORIZONTE - MG;NOVA GRANADA;2.016;2.735,32;147,34;147,34;P4;0,02;AP;RESIDENCIAL;580.000;ZAP;07/10/2021
RUA HELIO DE SENNA FIGUEIREDO 88 - APT 301 - SERRANO - 30882-600 - BELO HORIZONTE - MG;SERRANO;2.011;360;175,53;175,53;P3;0,21;AP;RESIDENCIAL;610.844,40;ZAP;07/10/2021
RUA CAIO VIANA MARTINS 580 - ARAGUAIA - 30620-480 - BELO HORIZONTE - MG;ARAGUAIA;1.986;498;82;82;P2;1;LJ;NAO RESIDENCIAL;615.384;ZAP;07/10/2021
RUA CAIO VIANA MARTINS 580 - ARAGUAIA - 30620-480 - BELO HORIZONTE - MG;ARAGUAIA;1.986;510;110;134;P2;1;LJ;NAO RESIDENCIAL;615.870;ZAP;07/10/2021
RUA GAMA CERQUEIRA 396 - APT 302 - JARDIM AMERICA - 30421-372 - BELO HORIZONTE - MG;JARDIM AMERICA;2.010;730;180,61;180,61;P3;0,08;AP;RESIDENCIAL;665.000;ZAP;07/10/2021
RUA PADRE NOBREGA 352 - APT 402 - MINAS BRASIL - 30730-230 - BELO HORIZONTE - MG;MINAS BRASIL;2.021;391;181,75;363,5;P3;0,16;AP;RESIDENCIAL;683.000;ZAP;07/10/2021
RUA AURELIANO LESSA 404 - LIBERDADE - 31270-200 - BELO HORIZONTE - MG;LIBERDADE;2.000;360;189,95;223,61;P2;1;CA;RESIDENCIAL;734.000;ZAP;07/10/2021
RUA ACAIACA 297 - DOM BOSCO - 30850-160 - BELO HORIZONTE - MG;DOM BOSCO;2.011;371,25;388;388;P4;1;CA;RESIDENCIAL;816.806,88;ZAP;07/10/2021
RUA DOUTOR CRISTIANO REZENDE 2730 - ARAGUAIA - 30620-470 - BELO HORIZONTE - MG;ARAGUAIA;1.985;519;264;264;P2;1;GP;NAO RESIDENCIAL;826.174,80;ZAP;07/10/2021
RUA EDUARDO CARLOS 40 - ARAGUAIA - 30620-440 - BELO HORIZONTE - MG;ARAGUAIA;1.985;424;516;516;P3;1;GP;NAO RESIDENCIAL;862.434;ZAP;07/10/2021
RUA SUZANA FURTADO DE OLIVEIRA 48 - APT 601 - SILVEIRA - 31140-430 - BELO HORIZONTE - MG;SILVEIRA;2.006;1.280;203,28;203,28;P4;0,05;AP;RESIDENCIAL;875.000;ZAP;07/10/2021
RUA OSWALDO FERRAZ 278 - APT 402 - SAGRADA FAMILIA - 31030-460 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.012;400;250,42;250,42;P3;0,2;AP;RESIDENCIAL;900.000;ZAP;07/10/2021
RUA BENTO MENDES CASTANHEIRA 195 - DONA CLARA - 31260-270 - BELO HORIZONTE - MG;DONA CLARA;2.011;360;362,45;156,78;P4;1;CA;RESIDENCIAL;1.360.986;ZAP;07/10/2021
RUA PROFESSOR JOSE RENAULT 204 - BLOCO A APT 902 EDIF BEETHOVEN - SAO BENTO - 30350-342 - BELO HORIZONTE - MG;SAO BENTO;1.992;9.345;170,02;170,02;P4;0;AP;RESIDENCIAL;1.070.000;ZAR1;07/10/2021
RUA FLOR D AGUA 380 - JARDIM ALVORADA - 30810-310 - BELO HORIZONTE - MG;JARDIM ALVORADA;1.976;360;67;67;P2;0,21;LJ;NAO RESIDENCIAL;105.696,23;ZAR2;07/10/2021
RUA TAMANDARE 116 - LOJA 3 - JOAO PINHEIRO - 30530-240 - BELO HORIZONTE - MG;JOAO PINHEIRO;1.974;371;66;66;P1;0,1;LJ;NAO RESIDENCIAL;140.000;ZAR2;07/10/2021
RUA NORMA GUILHERMINA DA SILVA 334 - APT 204 BLOCO 1 - JARDIM GUANABARA - 31742-299 - BELO HORIZONTE - MG;JARDIM GUANABARA;2.000;4.847,47;41,89;41,89;P2;0,01;AP;RESIDENCIAL;148.462,36;ZAR2;07/10/2021
RUA ISABEL RASO 10 - BLOCO 1 APT 201 - JAQUELINE - 31748-348 - BELO HORIZONTE - MG;JAQUELINE;2.015;6.868;52,14;52,14;P3;0,01;AP;RESIDENCIAL;171.540,60;ZAR2;07/10/2021
RUA DOS BORGES 990 - APT 502 BLOCO 10 - JARDIM VITORIA - 31975-270 - BELO HORIZONTE - MG;JARDIM VITORIA;2.020;18.932,82;52,59;52,59;P3;0;AP;RESIDENCIAL;173.021,10;ZAR2;07/10/2021
RUA LUIZ DE MELLO MATTOS 218 - APT 201 - PLANALTO - 31730-710 - BELO HORIZONTE - MG;PLANALTO;2.016;360;45,82;91,64;P3;0,11;AP;RESIDENCIAL;185.000;ZAR2;07/10/2021
AVE SARAMENHA 1726 - BLOCO 10 APT 103 - GUARANI - 31840-220 - BELO HORIZONTE - MG;GUARANI;1.995;61.172,29;61,72;61,72;P2;0;AP;RESIDENCIAL;189.992,92;ZAR2;07/10/2021
RUA PADRE ARGEMIRO MOREIRA 11667 - APT 101 BLOCO 12 - MARIA TERESA - 31998-250 - BELO HORIZONTE - MG;MARIA TERESA;2.021;18.915,60;66,99;66,99;P3;0;AP;RESIDENCIAL;215.000;ZAR2;07/10/2021
RUA CAJUI 144 - SUZANA - 31260-480 - BELO HORIZONTE - MG;SUZANA;2.015;300;70,77;70,77;P2;0,24;CA;RESIDENCIAL;226.181,91;ZAR2;07/10/2021
RUA EXPEDITO FELIPE DE MIRANDA - OURO PRETO - 31320-180 - BELO HORIZONTE - MG;OURO PRETO;1.980;360;14;14;P1;1;BA;RESIDENCIAL;251.085,80;ZAR2;07/10/2021
RUA EXPEDITO FELIPE DE MIRANDA - OURO PRETO - 31320-180 - BELO HORIZONTE - MG;OURO PRETO;1.980;360;14;14;P1;1;BA;RESIDENCIAL;251.085,80;ZAR2;07/10/2021
