name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
Santa Lúcia,21,built,2005,Rua Batista do Carmo 171,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102705,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Batista do Carmo 171,-23.5758533,-46.6261596
Meire,21,built,,Rua Loureiro da Cruz 245,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102702,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Loureiro da Cruz 245,-23.5704505,-46.634168
Le Parc,21,built,2008,Rua Topázio 453,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102704,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Topázio 453,-20.1435418,-44.8749042
Banco Panamericano,18,built,1975,Avenida Paulista 2240,Sao Paulo SP Brazil,,222,https://skyscraperpage.com/cities?buildingID=10953,222,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,Avenida Paulista 2240,-23.5572855,-46.6608239
Maria Santos,16,built,2004,"Al. Santos 415, Capital",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63624,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office,"Al. Santos 415, Capital",-25.287475013907287,-57.609646790728476
Juscelino Plaza,18,built,2000,"Avenida Juscelino Kubitschek, 387 - Itaim Bibi",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=11062,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- granite"")",0,1,0,0,Office,"Avenida Juscelino Kubitschek, 387 - Itaim Bibi",-23.5854216,-46.6717171
Edifício Barão de Mauá,20,built,,"Rua Simão Álvares, 250 - Pinheiros",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63121,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential,"Rua Simão Álvares, 250 - Pinheiros",-23.5651881,-46.687646
Hotel Emiliano,22,built,2001,"Rua Oscar Freire, 384 - Jardim Paulista",Sao Paulo SP Brazil,http://www.emiliano.com.br/,217,https://skyscraperpage.com/cities?buildingID=11053,217,NA,NA,"c(""Building Uses"", ""- hotel"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete"")",0,0,1,0,Hotel,"Rua Oscar Freire, 384 - Jardim Paulista",-23.5660349,-46.66525539511058
Adágio,22,built,2008,Rua Cancioneiro de Évora 190,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96196,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Cancioneiro de Évora 190,-23.630490000000002,-46.693426
Faria Lima 1188,16,built,,Av.Faria Lima,Sao Paulo SP Brazil,,213,https://skyscraperpage.com/cities?buildingID=10965,213,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,Av.Faria Lima,-15.9535196,-42.435649
