"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 23, 2019","75,521.52","74,550.49","75,521.52","74,494.74","-","1.37%"
"Dec 20, 2019","74,498.70","74,451.04","74,644.26","74,107.95","-","0.18%"
"Dec 19, 2019","74,366.68","73,373.53","74,410.83","73,115.28","-","1.49%"
"Dec 18, 2019","73,278.29","72,638.39","73,278.29","72,233.13","-","0.90%"
"Dec 17, 2019","72,621.72","72,885.57","73,117.91","72,203.12","-","-0.21%"
"Dec 16, 2019","72,777.62","72,691.62","73,076.24","72,610.15","-","0.14%"
"Dec 13, 2019","72,677.11","71,988.27","72,677.11","71,954.97","-","1.06%"
"Dec 12, 2019","71,917.12","71,819.34","72,000.77","71,637.45","-","0.21%"
"Dec 11, 2019","71,763.29","71,190.25","71,763.29","71,114.24","-","0.88%"
"Dec 10, 2019","71,139.24","71,042.02","71,139.24","70,777.02","-","0.08%"
"Dec 09, 2019","71,084.66","70,922.58","71,111.12","70,643.87","-","0.48%"
"Dec 06, 2019","70,743.62","70,546.02","70,857.67","70,398.36","-","0.36%"
"Dec 05, 2019","70,491.36","69,996.06","70,534.54","69,906.82","-","0.78%"
"Dec 04, 2019","69,944.82","69,737.76","70,104.74","69,737.76","-","0.48%"
"Dec 03, 2019","69,608.21","69,388.25","69,703.72","68,980.45","-","0.46%"
"Dec 02, 2019","69,292.74","69,560.50","69,797.57","69,197.53","-","-0.15%"
"Nov 29, 2019","69,397.56","68,824.83","69,397.56","68,821.87","-","0.76%"
"Nov 28, 2019","68,875.26","68,485.36","68,898.43","68,171.21","-","0.59%"
"Nov 27, 2019","68,471.09","68,336.64","68,568.09","67,772.78","-","0.41%"
"Nov 26, 2019","68,190.50","68,494.68","68,494.68","67,601.53","-","-0.49%"
"Nov 25, 2019","68,529.26","68,975.70","69,047.53","68,277.78","-","-0.46%"
"Nov 22, 2019","68,847.60","68,290.11","68,847.60","68,255.01","-","0.87%"
"Nov 21, 2019","68,256.53","67,598.07","68,256.53","67,571.80","-","1.02%"
"Nov 19, 2019","67,568.37","67,945.78","68,164.29","67,417.51","-","-0.42%"
"Nov 18, 2019","67,853.21","68,044.23","68,302.97","67,744.52","-","-0.08%"
"Nov 14, 2019","67,908.40","67,473.47","67,962.62","67,259.11","-","0.90%"
"Nov 13, 2019","67,303.34","67,670.64","67,814.90","67,133.13","-","-0.60%"
"Nov 12, 2019","67,707.10","68,402.17","68,402.17","67,391.62","-","-1.00%"
"Nov 11, 2019","68,389.47","68,395.03","68,396.93","67,751.23","-","-0.04%"
"Nov 08, 2019","68,415.09","68,761.33","68,761.33","67,951.27","-","-0.72%"
"Nov 07, 2019","68,913.09","68,421.93","69,012.68","68,370.69","-","0.89%"
"Nov 06, 2019","68,307.39","68,142.99","68,332.54","67,718.01","-","0.47%"
"Nov 05, 2019","67,986.97","68,526.54","68,676.71","67,658.96","-","-0.61%"
"Nov 04, 2019","68,403.24","68,410.64","68,647.32","67,935.73","-","0.21%"
"Nov 01, 2019","68,256.96","68,096.03","68,392.65","67,979.88","-","0.45%"
"Oct 31, 2019","67,949.19","67,180.12","67,949.19","66,974.86","-","1.08%"
"Oct 30, 2019","67,224.23","65,985.02","67,225.93","65,852.65","-","1.85%"
"Oct 29, 2019","66,004.77","65,724.88","66,216.51","65,635.46","-","0.48%"
"Oct 28, 2019","65,691.41","65,368.76","65,816.64","65,099.49","-","0.64%"
"Oct 25, 2019","65,270.99","65,850.55","65,850.55","65,044.48","-","-0.75%"
"Oct 24, 2019","65,763.63","66,052.87","66,111.20","65,358.91","-","-0.42%"
"Oct 23, 2019","66,040.71","66,252.72","66,458.17","65,619.73","-","-0.16%"
"Oct 22, 2019","66,143.55","66,267.35","66,540.17","65,942.28","-","-0.18%"
